case_origin,channel_group,case_records,pct_of_all_records,active_records,pct_still_active,duplicate_children,duplicate_rate_pct,median_active_age_days,p90_active_age_days,median_lifecycle_days,p90_lifecycle_days
Mobile,Resident-submitted,386368,54.04,53692,13.9,67170,17.4,388.0,1630.0,5.0,94.0
Web,Resident-submitted,170918,23.91,22157,13.0,24090,14.1,364.0,1702.800000000003,4.0,73.0
Worker App,Staff or system-generated,74223,10.38,17,0.0,31,0.0,426.0,624.4,0.0,0.0
Phone,Resident-submitted,48029,6.72,3870,8.1,1611,3.4,622.5,2581.1,3.0,2697.600000000035
Crew/Self Generated,Staff or system-generated,16946,2.37,3,0.0,2,0.0,3300.0,3624.8,0.0,0.0
CC Self Generate,Staff or system-generated,9712,1.36,235,2.4,650,6.7,55.0,243.5999999999999,0.0,13.0
Internal,Staff or system-generated,3129,0.44,98,3.1,925,29.6,200.0,695.5999999999999,31.0,118.0
GID Field,Staff or system-generated,1973,0.28,131,6.6,24,1.2,159.0,1398.0,5.0,72.0
Email,Resident-submitted,1742,0.24,341,19.6,126,7.2,465.0,2511.0,54.0,346.0
System Generated,Staff or system-generated,1038,0.15,720,69.4,13,1.3,184.0,185.0,13.0,23.0
Self-Generated,Staff or system-generated,289,0.04,27,9.3,16,5.5,214.0,337.00000000000006,19.0,290.80000000000007
Hauler List,Staff or system-generated,196,0.03,45,23.0,12,6.1,361.0,520.6,70.0,218.0
Construction Patrol,Staff or system-generated,123,0.02,2,1.6,6,4.9,101.0,157.0,0.0,19.0
Residential Patrol,Staff or system-generated,110,0.02,11,10.0,7,6.4,529.0,621.0,20.0,265.6000000000002
(Unknown),(Unknown),92,0.01,3,3.3,1,1.1,753.0,2305.8,21.0,105.80000000000004
Famosa Patrol,(Unknown),11,0.0,0,0.0,2,18.2,,,233.0,393.0
Irrigation Patrol,(Unknown),6,0.0,0,0.0,0,0.0,,,0.0,0.0
Referral Notice,Staff or system-generated,4,0.0,1,25.0,0,0.0,3303.0,3303.0,141.0,261.8
Referral,Staff or system-generated,4,0.0,2,50.0,1,25.0,130.5,179.70000000000002,170.0,300.4
999,(Unknown),2,0.0,1,50.0,0,0.0,613.0,613.0,6.0,6.0
Letter,Resident-submitted,2,0.0,1,50.0,0,0.0,2686.0,2686.0,2078.0,2078.0
FO Self Generate,Staff or system-generated,2,0.0,1,50.0,0,0.0,783.0,783.0,22.0,22.0
Council,(Unknown),2,0.0,0,0.0,0,0.0,,,1.0,1.8
Special Events,(Unknown),1,0.0,0,0.0,0,0.0,,,75.0,75.0
Station 38 Incident Reports,(Unknown),1,0.0,0,0.0,0,0.0,,,204.0,204.0
Claim Related,(Unknown),1,0.0,0,0.0,0,0.0,,,2.0,2.0
Walk-In,Resident-submitted,1,0.0,1,100.0,0,0.0,3062.0,3062.0,,
