month_start,closures_recorded,closed_status,referred_status,median_lifecycle_days,p90_lifecycle_days,coverage_status
2025-01-01 00:00:00,33688,30851,2837,2.0,83.0,complete
2025-02-01 00:00:00,28745,26249,2496,2.0,58.0,complete
2025-03-01 00:00:00,29461,27095,2366,2.0,57.0,complete
2025-04-01 00:00:00,35653,33021,2632,3.0,146.79999999999927,complete
2025-05-01 00:00:00,30462,28029,2433,2.0,57.0,complete
2025-06-01 00:00:00,29030,26833,2197,2.0,47.0,complete
2025-07-01 00:00:00,30592,28346,2246,2.0,40.0,complete
2025-08-01 00:00:00,31170,28775,2395,2.0,42.0,complete
2025-09-01 00:00:00,33163,30793,2370,3.0,66.0,complete
2025-10-01 00:00:00,34434,32148,2286,3.0,93.0,complete
2025-11-01 00:00:00,30393,28677,1716,4.0,95.0,complete
2025-12-01 00:00:00,31869,29886,1983,3.0,63.0,complete
2026-01-01 00:00:00,34577,32478,2099,4.0,63.0,complete
2026-02-01 00:00:00,33757,31872,1885,5.0,100.0,complete
2026-03-01 00:00:00,39123,37088,2035,4.0,2753.0,complete
2026-04-01 00:00:00,35550,33329,2221,3.0,65.0,complete
2026-05-01 00:00:00,32185,30119,2066,2.0,61.60000000000218,complete
2026-06-01 00:00:00,35563,33336,2227,2.0,41.0,complete
2026-07-01 00:00:00,35577,33319,2258,2.0,57.0,complete
2026-08-01 00:00:00,8574,8016,558,3.0,78.0,incomplete - month still in progress at snapshot
