month_start,month_year,month_number,submissions,distinct_issues,duplicate_children,still_active,referred_records,pct_still_active,coverage_status
2024-01-01 00:00:00,2024,1,1648,1479,494,953,9,57.8,incomplete - closures before 2025 are out of scope
2024-02-01 00:00:00,2024,2,1543,1377,471,819,14,53.1,incomplete - closures before 2025 are out of scope
2024-03-01 00:00:00,2024,3,1473,1367,401,744,12,50.5,incomplete - closures before 2025 are out of scope
2024-04-01 00:00:00,2024,4,1527,1468,384,752,17,49.2,incomplete - closures before 2025 are out of scope
2024-05-01 00:00:00,2024,5,1758,1627,490,807,17,45.9,incomplete - closures before 2025 are out of scope
2024-06-01 00:00:00,2024,6,1716,1604,418,701,21,40.9,incomplete - closures before 2025 are out of scope
2024-07-01 00:00:00,2024,7,1907,1761,480,769,26,40.3,incomplete - closures before 2025 are out of scope
2024-08-01 00:00:00,2024,8,2476,2289,595,986,50,39.8,incomplete - closures before 2025 are out of scope
2024-09-01 00:00:00,2024,9,2620,2364,713,1055,39,40.3,incomplete - closures before 2025 are out of scope
2024-10-01 00:00:00,2024,10,3506,3133,932,1252,67,35.7,incomplete - closures before 2025 are out of scope
2024-11-01 00:00:00,2024,11,3782,3342,1038,1121,54,29.6,incomplete - closures before 2025 are out of scope
2024-12-01 00:00:00,2024,12,7305,6487,1466,1020,196,14.0,incomplete - closures before 2025 are out of scope
2025-01-01 00:00:00,2025,1,33626,31494,3249,1439,2861,4.3,complete
2025-02-01 00:00:00,2025,2,29856,27204,3508,1216,2395,4.1,complete
2025-03-01 00:00:00,2025,3,33859,30566,4395,1298,2508,3.8,complete
2025-04-01 00:00:00,2025,4,31357,29092,3381,1151,2427,3.7,complete
2025-05-01 00:00:00,2025,5,31174,28793,3462,1416,2489,4.5,complete
2025-06-01 00:00:00,2025,6,31133,28788,3379,1409,2254,4.5,complete
2025-07-01 00:00:00,2025,7,34623,32008,3737,1555,2372,4.5,complete
2025-08-01 00:00:00,2025,8,35573,32492,4349,1676,2381,4.7,complete
2025-09-01 00:00:00,2025,9,32684,30226,3763,1581,2332,4.8,complete
2025-10-01 00:00:00,2025,10,32573,30041,3730,1837,2239,5.6,complete
2025-11-01 00:00:00,2025,11,31281,28577,3810,1878,1765,6.0,complete
2025-12-01 00:00:00,2025,12,32201,29488,3901,1994,1910,6.2,complete
2026-01-01 00:00:00,2026,1,39070,34550,5805,2583,2183,6.6,complete
2026-02-01 00:00:00,2026,2,30305,27458,3935,2846,1740,9.4,complete
2026-03-01 00:00:00,2026,3,35512,32273,4382,2510,2140,7.1,complete
2026-04-01 00:00:00,2026,4,34440,31573,3988,2919,2047,8.5,complete
2026-05-01 00:00:00,2026,5,34226,31213,4153,3342,2019,9.8,complete
2026-06-01 00:00:00,2026,6,35858,32818,4184,4275,2089,11.9,complete
2026-07-01 00:00:00,2026,7,37161,33877,4387,7890,2067,21.2,complete
2026-08-01 00:00:00,2026,8,9357,8644,1202,4957,458,53.0,incomplete - month still in progress at snapshot
