service_name,active_records,active_distinct_issues,duplicate_children,duplicate_rate_pct,records_per_issue,median_age_days
Pothole,332,190,192,57.8,1.75,133.5
Street Light Maintenance,13665,7490,6189,45.3,1.82,467.0
Traffic Sign Maintenance,706,506,302,42.8,1.4,1146.5
Other,676,593,281,41.6,1.14,208.0
Encampment,2243,1590,863,38.5,1.41,15.0
Graffiti - Code Enforcement,3774,2516,1303,34.5,1.5,195.0
Street Sweeping,647,449,215,33.2,1.44,279.0
Parking Violation,334,247,100,29.9,1.35,35.5
Illegal Dumping,768,619,223,29.0,1.24,41.5
Parks Issue,4030,3103,1058,26.3,1.3,203.0
Sidewalk Repair Issue,14614,10979,3694,25.3,1.33,1090.0
Parking - 72-Hours,4694,3828,1161,24.7,1.23,21.0
ROW Maintenance,10245,7847,2441,23.8,1.31,450.0
STRO Violation,1378,1064,316,22.9,1.3,139.0
Pavement Maintenance,5590,4398,1214,21.7,1.27,1295.5
Vegetation Encroachment,2910,2411,549,18.9,1.21,239.0
Stormwater,2337,1940,426,18.2,1.2,874.0
Stormwater Code Enforcement,608,530,108,17.8,1.15,149.0
Graffiti - Private,1109,998,187,16.9,1.11,121.0
Tree Maintenance,1289,1126,201,15.6,1.14,158.0
Building and Land Use Enforcement,1612,1407,235,14.6,1.15,186.0
Environmental Services Code Compliance,1079,1006,126,11.7,1.07,155.0
Development Services - Code Enforcement,1101,1029,122,11.1,1.07,488.0
Graffiti - Public,1045,985,103,9.9,1.06,89.0
Missed Collection,465,442,28,6.0,1.05,3.0
Traffic Engineering,1784,1704,86,4.8,1.05,201.0
Oversized Vehicle,370,369,3,0.8,1.0,14.0
(Unclassified),741,741,0,0.0,1.0,184.0
