community,example_council_district,active_records,pct_of_active_backlog,median_age_days,p90_age_days,aged_90_plus,pct_aged_90_plus,rank_by_backlog
DOWNTOWN,3,6435,7.94,338.0,1328.0,5043,78.4,1
SOUTHEASTERN SAN DIEGO,4,4551,5.61,286.0,1766.0,3077,67.6,2
CLAIREMONT MESA,2,4492,5.54,381.0,2064.7000000000003,3313,73.8,3
UPTOWN,3,4265,5.26,405.0,1903.1999999999998,3319,77.8,4
MID-CITY:CITY HEIGHTS,9,3911,4.82,271.0,1503.0,2805,71.7,5
NORTH PARK,3,3856,4.76,459.0,1795.0,2980,77.3,6
PACIFIC BEACH,1,3502,4.32,464.0,1786.8000000000002,2853,81.5,7
PENINSULA,2,3096,3.82,508.0,1713.0,2517,81.3,8
LA JOLLA,1,3074,3.79,555.5,1887.7000000000003,2628,85.5,9
NAVAJO,7,2685,3.31,469.0,1884.7999999999997,2067,77.0,10
MIRA MESA,6,2486,3.07,422.0,1659.0,2038,82.0,11
SKYLINE-PARADISE HILLS,4,2290,2.83,195.0,1377.4999999999995,1473,64.3,12
ENCANTO NEIGHBORHOODS,4,2229,2.75,258.0,1375.0,1491,66.9,13
GREATER GOLDEN HILL,3,1912,2.36,497.0,2044.6000000000004,1491,78.0,14
MID-CITY:EASTERN AREA,9,1828,2.26,240.0,1646.3999999999996,1212,66.3,15
OTAY MESA-NESTOR,8,1815,2.24,234.0,1094.0000000000007,1153,63.5,16
UNIVERSITY,6,1781,2.2,461.0,1937.0,1424,80.0,17
RANCHO PENASQUITOS,5,1472,1.82,540.0,1844.0,1170,79.5,18
LINDA VISTA,7,1451,1.79,166.0,1207.0,866,59.7,19
RANCHO BERNARDO,5,1442,1.78,493.5,1642.8000000000002,1188,82.4,20
MID-CITY:NORMAL HEIGHTS,9,1380,1.7,501.5,2243.1000000000004,1101,79.8,21
CARMEL VALLEY,1,1359,1.68,470.0,1570.2,1140,83.9,22
MISSION BAY PARK,2,1305,1.61,312.0,1398.0,923,70.7,23
BALBOA PARK,3,1289,1.59,456.0,1456.8000000000002,1046,81.1,24
MISSION VALLEY,3,1279,1.58,311.0,1573.8000000000002,847,66.2,25
OCEAN BEACH,2,1276,1.57,334.0,2002.5,910,71.3,26
MID-CITY:KENSINGTON-TALMADGE,9,1143,1.41,505.0,1775.999999999999,919,80.4,27
SERRA MESA,7,1026,1.27,418.5,1776.0,817,79.6,28
MIDWAY-PACIFIC HIGHWAY,2,1023,1.26,452.0,1963.0,785,76.7,29
MISSION BEACH,2,967,1.19,341.0,1464.6,810,83.8,30
COLLEGE AREA,9,962,1.19,331.5,1692.1999999999998,701,72.9,31
TIERRASANTA,7,956,1.18,457.0,1861.5,774,81.0,32
SCRIPPS MIRAMAR RANCH,5,940,1.16,438.0,1769.1,746,79.4,33
(Unknown),(Unknown),921,1.14,184.0,773.0,844,91.6,34
KEARNY MESA,6,909,1.12,411.0,1814.8000000000004,696,76.6,35
OTAY MESA,8,739,0.91,328.0,1541.4,480,65.0,36
BARRIO LOGAN,8,694,0.86,444.0,1503.0,538,77.5,37
SAN YSIDRO,8,692,0.85,276.5,1259.0,473,68.4,38
MIRAMAR RANCH NORTH,5,549,0.68,486.0,1733.1999999999998,465,84.7,39
TORREY PINES,1,510,0.63,507.5,1525.6000000000004,439,86.1,40
CARMEL MOUNTAIN RANCH,5,450,0.56,469.5,1434.5000000000005,360,80.0,41
TORREY HIGHLANDS,1,403,0.5,585.0,1873.6,341,84.6,42
BLACK MOUNTAIN RANCH,5,373,0.46,551.0,1420.2000000000003,311,83.4,43
SABRE SPRINGS,5,339,0.42,620.0,1580.0,283,83.5,44
OLD TOWN SAN DIEGO,2,249,0.31,292.0,1440.2000000000003,196,78.7,45
RANCHO ENCANTADA,6,219,0.27,279.0,2085.0000000000005,175,79.9,46
TORREY HILLS,1,206,0.25,588.0,1709.5,183,88.8,47
PACIFIC HIGHLANDS RANCH,1,198,0.24,417.0,1375.0000000000014,148,74.7,48
RESERVE AREA-Not a community plan,1,131,0.16,399.0,1311.0,113,86.3,49
