council_district,active_records,active_distinct_issues,pct_of_active_backlog,submissions_last_12_months,pct_of_recent_demand,backlog_per_recent_submission,median_age_days,p90_age_days,aged_60_plus,aged_90_plus,aged_365_plus,pct_aged_90_plus,pct_of_aged_90_backlog,duplicate_children,duplicate_rate_pct,rank_by_backlog,rank_by_median_age
3,18414,12956,22.6,89956,21.9,0.205,403.0,1633.1000000000022,15162,14346,9653,77.9,23.2,5678,30.8,1,4
2,12293,8946,15.1,63332,15.4,0.194,399.0,1848.800000000001,9972,9391,6386,76.4,15.2,3478,28.3,2,5
1,9649,7306,11.9,36484,8.9,0.264,482.0,1754.0,8291,7970,5590,82.6,12.9,2423,25.1,3,2
9,9378,7017,11.5,69571,16.9,0.135,331.0,1745.300000000001,7260,6890,4450,73.5,11.1,2536,27.0,4,7
8,7198,5483,8.8,44849,10.9,0.16,324.0,1621.9000000000005,5330,4985,3404,69.3,8.1,1834,25.5,5,8
7,6768,5132,8.3,28447,6.9,0.238,381.0,1728.0,5460,4971,3450,73.4,8.0,1712,25.3,6,6
4,5988,4666,7.4,40954,10.0,0.146,194.0,1313.3000000000002,4210,3763,2298,62.8,6.1,1441,24.1,7,9
5,5664,4088,7.0,15481,3.8,0.366,529.0,1727.6999999999998,4785,4637,3352,81.9,7.5,1599,28.2,8,1
6,5096,3894,6.3,20283,4.9,0.251,426.5,1758.0,4317,4127,2769,81.0,6.7,1262,24.8,9,3
(Unknown),911,908,1.1,1645,0.4,0.554,184.0,773.0,861,842,142,92.4,1.4,8,0.9,10,10
