rank_by_aged_volume,service_name,council_district,active_records,aged_90_plus,pct_aged_90_plus,median_age_days,p90_age_days,aged_concentration_index,pct_of_scored_aged_90
1,Street Light Maintenance,3,3553,3273,92.1,526.0,1308.0,1.171,6.09
2,Sidewalk Repair Issue,3,2948,2724,92.4,746.0,2386.3,1.174,5.07
3,Street Light Maintenance,2,2580,2415,93.6,580.0,1546.5999999999995,1.189,4.49
4,Sidewalk Repair Issue,2,2086,1978,94.8,1292.5,2861.0,1.205,3.68
5,Street Light Maintenance,1,1938,1799,92.8,595.0,1713.6,1.18,3.35
6,Sidewalk Repair Issue,7,1837,1771,96.4,1188.0,2603.0,1.225,3.29
7,ROW Maintenance,3,2082,1742,83.7,433.0,1374.0,1.063,3.24
8,Pavement Maintenance,3,1731,1646,95.1,1273.0,2772.0,1.208,3.06
9,Sidewalk Repair Issue,1,1669,1599,95.8,1154.0,2663.2,1.217,2.97
10,ROW Maintenance,1,1649,1479,89.7,470.0,1240.4,1.14,2.75
11,Sidewalk Repair Issue,9,1564,1460,93.4,741.0,2645.500000000001,1.186,2.72
12,Graffiti - Code Enforcement,3,1811,1388,76.6,253.0,710.0,0.974,2.58
13,Street Light Maintenance,5,1558,1333,85.6,370.0,1001.5999999999999,1.087,2.48
14,Sidewalk Repair Issue,5,1357,1323,97.5,1248.0,2818.2000000000016,1.239,2.46
15,ROW Maintenance,2,1487,1269,85.3,446.0,1312.0,1.084,2.36
16,Sidewalk Repair Issue,8,1242,1165,93.8,759.0,2229.5000000000005,1.192,2.17
17,Sidewalk Repair Issue,6,1172,1136,96.9,1493.5,2734.6000000000004,1.232,2.11
18,Pavement Maintenance,9,1089,1049,96.3,1393.0,2725.2,1.224,1.95
19,Street Light Maintenance,9,1069,973,91.0,444.0,1363.8000000000002,1.157,1.81
20,ROW Maintenance,6,935,844,90.3,530.0,1345.6000000000004,1.147,1.57
21,ROW Maintenance,7,1095,819,74.8,344.0,1252.0,0.95,1.52
22,Street Light Maintenance,6,912,813,89.1,331.0,1045.9,1.133,1.51
23,Street Light Maintenance,8,839,730,87.0,355.0,1099.8000000000004,1.106,1.36
24,ROW Maintenance,8,835,713,85.4,426.0,1468.6000000000001,1.085,1.33
25,Pavement Maintenance,8,703,685,97.4,1506.0,2138.6000000000013,1.238,1.27
26,Sidewalk Repair Issue,4,737,681,92.4,860.0,2256.0,1.174,1.27
27,(Unclassified),(Unknown),720,674,93.6,184.0,185.0,1.189,1.25
28,ROW Maintenance,5,738,669,90.7,472.0,1271.6000000000001,1.152,1.24
29,ROW Maintenance,9,727,634,87.2,451.0,1357.5999999999997,1.108,1.18
30,Pavement Maintenance,2,661,630,95.3,1247.0,2985.0,1.211,1.17
31,ROW Maintenance,4,684,602,88.0,469.5,1217.0,1.118,1.12
32,Street Light Maintenance,7,678,585,86.3,326.5,923.3000000000001,1.096,1.09
33,Vegetation Encroachment,1,684,551,80.6,375.0,914.1000000000001,1.024,1.02
34,Parks Issue,3,782,549,70.2,326.0,1159.1,0.892,1.02
35,Parks Issue,2,904,512,56.6,136.5,1130.1000000000001,0.72,0.95
36,Pavement Maintenance,1,507,477,94.1,1235.0,2692.800000000001,1.195,0.89
37,Graffiti - Code Enforcement,9,696,467,67.1,137.5,636.0,0.853,0.87
38,Stormwater,3,480,436,90.8,985.0,2117.8,1.154,0.81
39,Street Light Maintenance,4,535,404,75.5,204.0,1291.8000000000002,0.96,0.75
40,Parks Issue,7,524,314,59.9,117.5,975.8,0.761,0.58
41,Building and Land Use Enforcement,3,360,301,83.6,210.0,575.2,1.062,0.56
42,Parks Issue,1,455,299,65.7,230.0,1326.4,0.835,0.56
43,Pavement Maintenance,7,311,298,95.8,1271.0,2634.0,1.218,0.55
44,Vegetation Encroachment,6,361,294,81.4,337.0,817.0,1.035,0.55
45,Stormwater,1,326,287,88.0,711.0,2249.5,1.119,0.53
46,Parks Issue,5,360,276,76.7,542.0,1299.3000000000006,0.974,0.51
47,STRO Violation,2,428,271,63.3,182.5,520.0,0.805,0.5
48,Graffiti - Private,9,414,261,63.0,116.0,586.0999999999997,0.801,0.49
49,Parking - 72-Hours,4,1123,260,23.2,44.0,171.80000000000007,0.294,0.48
50,Stormwater,9,287,259,90.2,874.0,2055.6000000000004,1.147,0.48
51,Vegetation Encroachment,3,357,253,70.9,157.0,625.4000000000001,0.9,0.47
52,Traffic Engineering,3,345,245,71.0,274.0,1286.2000000000005,0.902,0.46
53,Stormwater,2,270,244,90.4,891.0,2198.2,1.148,0.45
53,Vegetation Encroachment,2,377,244,64.7,138.0,796.8000000000001,0.822,0.45
55,Pavement Maintenance,4,251,242,96.4,1010.0,2343.0,1.225,0.45
56,Stormwater,7,250,224,89.6,910.5,2149.2999999999997,1.139,0.42
57,Development Services - Code Enforcement,3,221,221,100.0,501.0,2479.0,1.271,0.41
58,Traffic Engineering,2,327,220,67.3,210.0,1181.0,0.855,0.41
59,Graffiti - Code Enforcement,8,357,210,58.8,211.0,934.8000000000004,0.747,0.39
60,Parks Issue,9,294,208,70.7,370.0,994.1999999999999,0.899,0.39
61,Stormwater,4,238,202,84.9,812.5,2002.5,1.078,0.38
62,Tree Maintenance,1,296,199,67.2,212.0,650.0,0.854,0.37
63,Graffiti - Code Enforcement,2,334,193,57.8,112.5,728.3,0.734,0.36
64,Building and Land Use Enforcement,2,264,192,72.7,168.0,446.80000000000007,0.924,0.36
65,Graffiti - Private,3,275,190,69.1,167.0,545.0,0.878,0.35
66,STRO Violation,3,356,189,53.1,134.0,520.0,0.675,0.35
67,Vegetation Encroachment,8,279,188,67.4,305.0,870.4000000000001,0.856,0.35
68,Traffic Engineering,1,241,185,76.8,203.0,1042.0,0.975,0.34
69,Building and Land Use Enforcement,9,243,181,74.5,186.0,472.8,0.946,0.34
70,Vegetation Encroachment,4,315,176,55.9,122.0,757.0000000000005,0.71,0.33
71,Building and Land Use Enforcement,1,207,170,82.1,195.0,416.00000000000006,1.044,0.32
72,Parks Issue,6,248,167,67.3,154.0,1040.6,0.856,0.31
73,Parks Issue,8,239,165,69.0,185.0,990.0000000000009,0.877,0.31
74,Tree Maintenance,3,310,154,49.7,83.0,847.1000000000009,0.631,0.29
75,Encampment,2,372,149,40.1,23.5,1164.9,0.509,0.28
76,Graffiti - Code Enforcement,4,263,136,51.7,105.0,586.0,0.657,0.25
77,Graffiti - Public,9,241,132,54.8,102.0,553.0,0.696,0.25
78,Graffiti - Public,3,246,129,52.4,108.0,897.0,0.666,0.24
79,Encampment,9,399,120,30.1,19.0,1048.3999999999999,0.382,0.22
80,Environmental Services Code Compliance,3,218,118,54.1,118.5,735.9000000000001,0.688,0.22
81,Environmental Services Code Compliance,9,223,115,51.6,115.0,521.8,0.655,0.21
82,Traffic Engineering,7,211,113,53.6,132.0,911.0,0.68,0.21
83,Encampment,3,738,109,14.8,7.0,394.30000000000416,0.188,0.2
84,Graffiti - Private,4,218,95,43.6,69.0,256.0,0.554,0.18
84,STRO Violation,1,266,95,35.7,59.0,355.0,0.454,0.18
86,Parking - 72-Hours,9,560,79,14.1,14.5,236.20000000000005,0.179,0.15
87,Encampment,8,249,63,25.3,16.0,792.0,0.321,0.12
88,Parking - 72-Hours,7,363,61,16.8,20.0,235.8,0.214,0.11
89,Parking - 72-Hours,1,272,60,22.1,23.0,186.60000000000008,0.28,0.11
90,Parking - 72-Hours,3,489,56,11.5,12.0,134.0,0.146,0.1
91,Parking - 72-Hours,6,231,54,23.4,16.0,380.0,0.297,0.1
92,Parking - 72-Hours,8,790,50,6.3,19.0,65.0,0.08,0.09
93,Parking - 72-Hours,2,607,48,7.9,17.0,65.39999999999998,0.1,0.09
94,Parking - 72-Hours,5,257,14,5.4,23.0,57.60000000000002,0.069,0.03
