scheme,rank_in_scheme,service_name,score,in_baseline_top_3
age-heavy 0.25 / 0.25 / 0.50,1,Pavement Maintenance,94.6,true
age-heavy 0.25 / 0.25 / 0.50,2,Sidewalk Repair Issue,92.4,true
age-heavy 0.25 / 0.25 / 0.50,3,Street Light Maintenance,82.6,true
age-heavy 0.25 / 0.25 / 0.50,4,Traffic Sign Maintenance,82.6,false
age-heavy 0.25 / 0.25 / 0.50,5,Stormwater,80.4,false
aged-rate-heavy 0.25 / 0.60 / 0.15,1,Pavement Maintenance,91.5,true
aged-rate-heavy 0.25 / 0.60 / 0.15,2,Sidewalk Repair Issue,90.9,true
aged-rate-heavy 0.25 / 0.60 / 0.15,3,Development Services - Code Enforcement,83.9,false
aged-rate-heavy 0.25 / 0.60 / 0.15,4,Traffic Sign Maintenance,82.6,false
aged-rate-heavy 0.25 / 0.60 / 0.15,5,Street Light Maintenance,82.6,true
baseline 0.45 / 0.35 / 0.20,1,Sidewalk Repair Issue,93.7,true
baseline 0.45 / 0.35 / 0.20,2,Pavement Maintenance,91.1,true
baseline 0.45 / 0.35 / 0.20,3,Street Light Maintenance,86.1,true
baseline 0.45 / 0.35 / 0.20,4,ROW Maintenance,80.2,false
baseline 0.45 / 0.35 / 0.20,5,Stormwater,76.5,false
equal 1/3 each,1,Pavement Maintenance,92.8,true
equal 1/3 each,2,Sidewalk Repair Issue,92.8,true
equal 1/3 each,3,Street Light Maintenance,84.1,true
equal 1/3 each,4,Traffic Sign Maintenance,78.3,false
equal 1/3 each,5,Stormwater,78.3,false
volume-heavy 0.60 / 0.25 / 0.15,1,Sidewalk Repair Issue,95.4,true
volume-heavy 0.60 / 0.25 / 0.15,2,Pavement Maintenance,90.0,true
volume-heavy 0.60 / 0.25 / 0.15,3,Street Light Maintenance,88.7,true
volume-heavy 0.60 / 0.25 / 0.15,4,ROW Maintenance,83.3,false
volume-heavy 0.60 / 0.25 / 0.15,5,Stormwater,75.9,false
