service_name,resolved_records,referred_records,referral_rate_pct,referred_external,referred_internal,referred_unclassified,pct_of_all_referrals,rank_by_referral_volume
Other,18168,12055,66.4,3454,8600,1,28.0,1
Graffiti - Code Enforcement,13436,3895,29.0,3536,354,5,9.0,4
Building and Land Use Enforcement,1529,403,26.4,48,355,0,0.9,17
Sidewalk Repair Issue,7919,2037,25.7,822,1215,0,4.7,6
ROW Maintenance,10204,2171,21.3,659,1512,0,5.0,5
Graffiti - Public,36355,6101,16.8,5497,604,0,14.2,2
Pavement Maintenance,1953,293,15.0,100,193,0,0.7,19
Environmental Services Code Compliance,12513,1537,12.3,1521,16,0,3.6,8
Stormwater Code Enforcement,4273,491,11.5,151,340,0,1.1,15
Development Services - Code Enforcement,2509,276,11.0,27,249,0,0.6,20
Tree Maintenance,10216,1044,10.2,758,286,0,2.4,10
Weed Cleanup,1242,111,8.9,60,51,0,0.3,26
Vegetation Encroachment,6586,573,8.7,378,193,2,1.3,13
Traffic Signal Timing,7503,621,8.3,587,34,0,1.4,12
Encampment,69032,5380,7.8,5093,254,33,12.5,3
Parks Issue,15897,1216,7.6,530,683,3,2.8,9
Traffic Sign Maintenance,6678,480,7.2,173,307,0,1.1,16
Waste on Private Property,4371,230,5.3,206,24,0,0.5,21
Traffic Signal Issue,9938,509,5.1,474,35,0,1.2,14
Stormwater,4119,175,4.2,48,127,0,0.4,23
Street Light Maintenance,9048,350,3.9,328,22,0,0.8,18
Street Sweeping,3426,114,3.3,62,52,0,0.3,25
Pothole,28990,886,3.1,368,518,0,2.1,11
(Unclassified),6775,163,2.4,163,0,0,0.4,24
Illegal Dumping,113427,1629,1.4,1516,112,1,3.8,7
Trash/Recycling Collection,5306,56,1.1,48,8,0,0.1,27
Graffiti - Private,7209,55,0.8,36,16,3,0.1,28
Traffic Engineering,4111,20,0.5,7,13,0,0.0,30
Dead Animal,6709,13,0.2,13,0,0,0.0,31
Oversized Vehicle,5746,11,0.2,5,6,0,0.0,32
Parking Violation,95984,181,0.2,16,161,4,0.4,22
Parking - 72-Hours,41028,35,0.1,0,34,1,0.1,29
ESD Collections,7792,0,0.0,0,0,0,0.0,33
Missed Collection,50775,0,0.0,0,0,0,0.0,33
STRO Violation,2420,0,0.0,0,0,0,0.0,33
