referral_scope,referred_to,referred_records,pct_of_referrals,median_lifecycle_days
External (non-City entity),Caltrans (State),9123,21.07,2.0
Internal (City department),City - Other department,8282,19.12,0.0
Internal (City department),City - Police,6902,15.94,0.0
External (non-City entity),SDG&E (utility),5280,12.19,1.0
External (non-City entity),Other external entity,2520,5.82,0.0
External (non-City entity),AT&T (utility),2303,5.32,1.0
External (non-City entity),Sanitation contractor,1838,4.24,0.0
External (non-City entity),RMS (cart retrieval),1509,3.48,2.0
External (non-City entity),MTS (transit),1092,2.52,0.0
External (non-City entity),San Diego Unified School District,759,1.75,2.0
External (non-City entity),Port of San Diego / Harbor Police,613,1.42,2.0
Internal (City department),City - Fire-Rescue,510,1.18,0.0
External (non-City entity),Downtown Clean & Safe,447,1.03,0.0
External (non-City entity),Cox (utility),381,0.88,1.0
External (non-City entity),USPS (federal),299,0.69,2.0
External (non-City entity),County of San Diego,255,0.59,0.0
Internal (City department),City - Facilities Maintenance,213,0.49,0.0
External (non-City entity),Private waste hauler,198,0.46,1.0
Internal (City department),City - Public Utilities (Water),177,0.41,1.0
Internal (City department),City - Parks & Recreation,166,0.38,1.0
External (non-City entity),Railroad,163,0.38,2.0
Internal (City department),City - Field Engineering,88,0.2,1.0
Internal (City department),City - Library,77,0.18,5.0
Internal (City department),City - Golf,57,0.13,10.0
(No referral text recorded),(No referral text recorded),53,0.12,2.0
Internal (City department),City - Storm Water,1,0.0,7.0
