service_name,most_common_record_type,active_records,active_distinct_issues,active_duplicate_children,duplicate_rate_pct,pct_of_active_backlog,cumulative_pct_of_backlog,median_age_days,p90_age_days,mean_age_days,max_age_days,aged_0_30,aged_60_plus,aged_90_plus,aged_365_plus,pct_aged_90_plus,pct_of_aged_90_backlog,rank_by_volume,rank_by_median_age,rank_by_aged_90_volume
Sidewalk Repair Issue,TSW,14614,10979,3694,25.3,17.96,18.0,1090.0,2617.0,1239.5,3731,344,14047,13839,11892,94.7,22.35,1,5,1
Street Light Maintenance,TSW,13665,7490,6189,45.3,16.8,34.8,467.0,1358.6000000000004,599.9,2677,608,12748,12328,7758,90.2,19.91,2,8,2
ROW Maintenance,TSW,10245,7847,2441,23.8,12.59,47.4,450.0,1312.0,575.1,3716,523,9351,8782,5911,85.7,14.18,3,9,3
Pavement Maintenance,TSW,5590,4398,1214,21.7,6.87,54.2,1295.5,2710.1000000000004,1363.4,3729,88,5428,5351,4689,95.7,8.64,4,2,4
Parking - 72-Hours,Parking,4694,3828,1161,24.7,5.77,60.0,21.0,140.0,54.8,1199,2913,998,684,131,14.6,1.1,5,36,16
Parks Issue,Parks & Recreation,4030,3103,1058,26.3,4.95,64.9,203.0,1133.1,405.3,1815,756,2948,2631,1580,65.3,4.25,6,13,5
Graffiti - Code Enforcement,TSW ROW,3774,2516,1303,34.5,4.64,69.6,195.0,716.0,296.5,2042,477,2927,2611,1244,69.2,4.22,7,16,6
Vegetation Encroachment,TSW ROW,2910,2411,549,18.9,3.58,73.2,239.0,818.2999999999997,351.0,3175,364,2254,2034,1083,69.9,3.28,8,11,8
Stormwater,TSW,2337,1940,426,18.2,2.87,76.0,874.0,2141.0000000000005,992.2,3665,111,2144,2087,1698,89.3,3.37,9,6,7
Encampment,Neighborhood Policing,2243,1590,863,38.5,2.76,78.8,15.0,1006.0,240.1,1706,1428,683,645,512,28.8,1.04,10,37,19
Traffic Engineering,Traffic Engineering,1784,1704,86,4.8,2.19,81.0,201.0,1181.0,429.5,3060,175,1428,1257,631,70.5,2.03,11,14,9
Building and Land Use Enforcement,DSD,1612,1407,235,14.6,1.98,83.0,186.0,473.0,234.0,1287,120,1375,1248,308,77.4,2.02,12,19,10
STRO Violation,DSD,1378,1064,316,22.9,1.69,84.7,139.0,564.0,222.2,1186,147,944,760,257,55.2,1.23,13,25,13
Tree Maintenance,TSW,1289,1126,201,15.6,1.58,86.2,158.0,821.6000000000001,331.2,3485,370,838,772,408,59.9,1.25,14,22,12
Graffiti - Private,TSW,1109,998,187,16.9,1.36,87.6,121.0,511.60000000000036,200.7,1976,177,805,685,168,61.8,1.11,15,27,15
Development Services - Code Enforcement,DSD,1101,1029,122,11.1,1.35,89.0,488.0,2378.0,974.5,2931,0,1101,1101,891,100.0,1.78,16,7,11
Environmental Services Code Compliance,ESD Complaint/Report,1079,1006,126,11.7,1.33,90.3,155.0,537.8000000000004,238.1,2257,256,724,668,176,61.9,1.08,17,23,18
Graffiti - Public,TSW,1045,985,103,9.9,1.28,91.6,89.0,763.6000000000006,240.9,2046,327,636,521,170,49.9,0.84,18,29,20
Illegal Dumping,ESD Complaint/Report,768,619,223,29.0,0.94,92.5,41.5,610.0,190.6,1567,354,350,315,125,41.0,0.51,19,32,24
(Unclassified),ESD Complaint/Report,741,741,0,0.0,0.91,93.4,184.0,185.0,169.0,214,20,695,677,0,91.4,1.09,20,21,17
Traffic Sign Maintenance,TSW,706,506,302,42.8,0.87,94.3,1146.5,1453.5,1159.4,2787,0,706,706,705,100.0,1.14,21,3,14
Other,TSW,676,593,281,41.6,0.83,95.1,208.0,1082.5,434.5,2931,142,468,416,305,61.5,0.67,22,12,22
Street Sweeping,TSW,647,449,215,33.2,0.8,95.9,279.0,1079.1999999999998,422.4,3641,97,504,477,253,73.7,0.77,23,10,21
Stormwater Code Enforcement,Storm Water Code Enforcement,608,530,108,17.8,0.75,96.7,149.0,538.5000000000003,241.1,3706,107,431,383,127,63.0,0.62,24,24,23
Missed Collection,ESD Complaint/Report,465,442,28,6.0,0.57,97.2,3.0,6.0,31.5,1588,446,18,17,14,3.7,0.03,25,40,36
Oversized Vehicle,Neighborhood Policing,370,369,3,0.8,0.45,97.7,14.0,68.0,25.9,263,285,52,15,0,4.1,0.02,26,38,37
Parking Violation,Parking,334,247,100,29.9,0.41,98.1,35.5,171.7,69.1,1630,159,121,90,5,26.9,0.15,27,33,29
Pothole,TSW,332,190,192,57.8,0.41,98.5,133.5,1257.1000000000004,468.4,2798,133,189,173,135,52.1,0.28,28,26,25
Traffic Signal Issue,TSW,244,218,31,12.7,0.3,98.8,34.0,766.3000000000002,254.8,1847,104,108,104,65,42.6,0.17,29,35,28
Waste on Private Property,ESD Complaint/Report,232,178,96,41.4,0.29,99.1,92.0,523.7,173.9,1067,62,142,121,32,52.2,0.2,30,28,27
Trash/Recycling Collection,ESD Complaint/Report,212,199,17,8.0,0.26,99.4,193.0,2304.1000000000004,637.7,2861,39,162,154,80,72.6,0.25,31,17,26
Dead Animal,ESD Complaint/Report,154,142,13,8.4,0.19,99.5,69.0,145.70000000000002,71.9,163,36,88,50,0,32.5,0.08,32,30,31
Traffic Signal Timing,TSW,120,116,6,5.0,0.15,99.7,35.0,447.3000000000001,133.0,1307,55,37,30,16,25.0,0.05,33,34,34
